ano,avaliacao,nome,rank
2014,7.18,Star Wars: The Card Game,729
2014,7.21,Union Pacific,730
2014,7.21,Carcassonne: The City,731
2014,7.47,Crown of Emara,732
2014,7.20,Hyperborea,733
2014,7.43,Ticket to Ride: Rails & Sails,734
2014,8.24,Empire of the Sun,735
2014,7.43,Brew Crafters,736
2014,7.46,Gentes,737
2014,7.53,Bus,738
2014,6.88,Ca$h 'n Guns (Second Edition),739
2014,6.97,Celestia,740
2014,7.54,Tang Garden,741
2014,7.86,Honey Buzz,742
2014,8.11,Hadrian's Wall,743
2014,7.52,Summoner Wars: Phoenix Elves vs Tundra Orcs,744
2014,7.59,Legendary: A Marvel Deck Building Game – Villains,745
2014,6.93,Thunderstone,746
2014,8.05,Virgin Queen,747
2014,6.83,Diamant,748
2014,7.21,Dale of Merchants,749
2014,7.68,Disney Villainous: Evil Comes Prepared,750
2014,7.61,Pandemic: Rising Tide,751
2014,6.85,Can't Stop,752
2014,7.17,San Marco,753
2014,7.95,Conflict of Heroes: Awakening the Bear! – Operation Barbarossa 1941 (Second Edition),754
2014,7.34,Unfair,755
2014,7.11,Santiago,756
2014,7.47,Q.E.,757
2014,7.17,The Palaces of Carrara,758
2014,7.23,Akrotiri,759
2014,7.22,Homesteaders,760
2014,6.93,Last Night on Earth: The Zombie Game,761
2014,7.56,Catacombs (Third Edition),762
2014,6.99,Morels,763
2014,7.15,Container,764
2014,7.42,Signorie,765
2014,7.19,Tumblin-Dice,766
2014,6.94,Rhino Hero,767
2014,6.78,Forbidden Island,768
2014,7.27,Tammany Hall,769
2014,7.06,Genoa,770
2014,7.46,Bridge,771
2014,6.87,Roll Through the Ages: The Bronze Age,772
2014,7.12,Maharaja: The Game of Palace Building in India,773
2014,7.57,Summoner Wars: Guild Dwarves vs Cave Goblins,774
2014,7.28,Pictomania,775
2014,7.29,Smash Up: Science Fiction Double Feature,776
2014,7.00,The Bloody Inn,777
2014,7.34,Kitchen Rush,778
2014,7.37,Age of Industry,779
2014,7.06,Louis XIV,780
2014,7.41,Aquatica,781
2014,7.19,Dice Hospital,782
2014,7.63,Heroscape Master Set: Swarm of the Marro,783
2014,6.94,Wizard,784
2014,7.20,Tragedy Looper,785
2014,7.88,Yellow & Yangtze,786
2014,7.50,Furnace,787
2014,7.72,Merv: The Heart of the Silk Road,788
2014,7.31,Web of Power,789
2014,7.62,The Magnificent,790
2014,7.41,Wasteland Express Delivery Service,791
2014,7.20,Palm Island,792
2014,7.32,Thunder Alley,793
2014,7.17,Core Worlds,794
2014,8.36,Hannibal & Hamilcar,795
2014,7.37,The Others,796
2014,7.30,Ascension: Storm of Souls,797
2014,7.13,Dungeons & Dragons: Wrath of Ashardalon Board Game,798
2014,7.07,The Lost Expedition,799
2014,7.04,Adrenaline,800
2015,6.90,Lanterns: The Harvest Festival,801
2015,7.20,Britannia,802
2015,7.49,The Shipwreck Arcana,803
2015,7.47,Battle for Rokugan,804
2015,7.01,The Castles of Burgundy: The Card Game,805
2015,7.46,Menara,806
2015,7.14,Hawaii,807
2015,7.81,Cerebria: The Inside World,808
